series_id,series_name,description,year,period,period_name,date,value,created_at
CES2000000001,employment_totals,Construction,2019,M01,January,2019-01-01,7434,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2019,M02,February,2019-02-01,7402,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2019,M03,March,2019-03-01,7427,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2019,M04,April,2019-04-01,7470,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2019,M05,May,2019-05-01,7484,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2019,M06,June,2019-06-01,7510,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2019,M07,July,2019-07-01,7522,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2019,M08,August,2019-08-01,7527,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2019,M09,September,2019-09-01,7540,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2019,M10,October,2019-10-01,7543,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2019,M11,November,2019-11-01,7536,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2019,M12,December,2019-12-01,7529,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2020,M01,January,2020-01-01,7577,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2020,M02,February,2020-02-01,7624,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2020,M03,March,2020-03-01,7549,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2020,M04,April,2020-04-01,6516,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2020,M05,May,2020-05-01,7007,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2020,M06,June,2020-06-01,7166,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2020,M07,July,2020-07-01,7198,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2020,M08,August,2020-08-01,7222,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2020,M09,September,2020-09-01,7243,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2020,M10,October,2020-10-01,7295,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2020,M11,November,2020-11-01,7313,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2020,M12,December,2020-12-01,7357,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2021,M01,January,2021-01-01,7360,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2021,M02,February,2021-02-01,7308,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2021,M03,March,2021-03-01,7408,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2021,M04,April,2021-04-01,7393,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2021,M05,May,2021-05-01,7381,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2021,M06,June,2021-06-01,7378,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2021,M07,July,2021-07-01,7395,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2021,M08,August,2021-08-01,7397,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2021,M09,September,2021-09-01,7427,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2021,M10,October,2021-10-01,7455,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2021,M11,November,2021-11-01,7502,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2021,M12,December,2021-12-01,7546,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2022,M01,January,2022-01-01,7552,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2022,M02,February,2022-02-01,7606,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2022,M03,March,2022-03-01,7628,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2022,M04,April,2022-04-01,7623,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2022,M05,May,2022-05-01,7658,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2022,M06,June,2022-06-01,7674,2022-08-09T14:40:47Z
CES2000000001,employment_totals,Construction,2022,M07,July,2022-07-01,7706,2022-08-09T14:40:47Z
